#Paper: Not Today, Sun! Could Unseen, Faint, Dwarf Companions Be The Real Culprits In The G Dwarf Superflaring Mystery? (Schonhut-Stasik+, 2021)
#Title: Additional Sources in 12" Search of UKIRT Data. 
#Table: Table 2
#Column	KIC ID		Kepler ID Number 
#Column	Companions	Number of Visual Pairs
#Column	Separation	Separation Between Visual Pair and Target Star [arcseconds] (Error = 0.4") 
2012690&2&[6.4, 10.0]
2158047&1&[7.4]
2441337&2&[10.5, 4.5]
2554317&1&[5.1]
2850378&1&[5.0]
2860579&2&[8.2, 11.6]
2862041&1&[11.6]
3118883&1&[5.4]
3119250&2&[8.8, 8.8]
3239219&1&[10.3]
3557532&3&[8.2, 5.1, 11.7]
3626094&1&[9.4]
3728906&1&[3.2]
3749062&1&[10.0]
3853938&2&[11.7, 8.4]
3869649&2&[10.8, 9.7]
3939069&2&[3.8, 7.9]
4045215&2&[11.4, 12.0]
4138557&2&[2.7, 1.2]
4142137&1&[11.3]
4148863&2&[11.4, 5.8]
4245449&2&[7.1, 7.0]
4357272&1&[5.4]
4543412&1&[9.5]
4646848&1&[8.2]
4742436&2&[2.7, 12.0]
4749912&2&[10.4, 9.2]
4750938&2&[3.4, 10.9]
4830001&2&[3.1, 11.7]
4831454&4&[6.8, 2.6, 2.5, 6.7]
5026306&1&[9.9]
5179841&2&[6.7, 11.4]
5281818&1&[11.7]
5350447&3&[10.3, 12.0, 2.5]
5356535&1&[6.3]
5427641&1&[10.1]
5445334&4&[11.4, 3.2, 11.8, 8.1]
5474356&2&[9.9, 7.5]
5529084&1&[4.7]
5616432&1&[8.7]
5896387&1&[1.7]
6127565&2&[9.4, 11.2]
6196021&1&[4.8]
6209347&1&[3.4]
6222898&5&[9.4, 10.1, 9.6, 7.8, 11.5]
6277018&3&[8.7, 4.0, 9.9]
6285848&2&[7.4, 4.5]
6292596&3&[11.2, 6.7, 10.9]
6293950&2&[11.0, 4.2]
6384496&3&[9.7, 3.0, 11.6]
6507334&2&[8.4, 8.2]
6544160&3&[9.1, 9.2, 11.6]
6630507&5&[10.5, 10.2, 12.0, 9.9, 11.0]
6633602&3&[9.2, 7.8, 8.6]
6633742&3&[8.2, 6.0, 9.7]
6680640&1&[3.9]
6691930&2&[2.7, 8.9]
6697041&1&[9.2]
6836589&1&[6.4]
6848592&2&[12.0, 2.6]
6849046&1&[4.0]
6865416&2&[4.3, 3.1]
6865484&2&[5.1, 7.2]
6870327&1&[11.6]
6924320&1&[8.8]
6961315&2&[2.1, 10.1]
7093547&1&[7.8]
7133671&2&[7.8, 3.8]
7174505&1&[11.5]
7264976&2&[10.4, 6.7]
7368914&3&[11.7, 1.0, 5.5]
7512845&1&[2.5]
7532880&2&[11.8, 3.0]
7538341&1&[2.5]
7839949&1&[3.7]
7902097&1&[5.9]
8074287&1&[2.8]
8076634&1&[3.8]
8081482&1&[2.5]
8091757&1&[11.4]
8212826&1&[5.6]
8226464&1&[9.6]
8247845&4&[9.3, 11.4, 8.7, 12.0]
8302223&3&[10.0, 4.5, 7.3]
8307824&1&[8.2]
8491470&2&[10.0, 9.3]
8604805&2&[5.8, 6.4]
8613466&1&[4.2]
8621739&3&[11.7, 11.6, 10.8]
8653039&2&[9.9, 9.2]
8759594&1&[5.5]
8848528&5&[11.7, 3.4, 7.1, 6.4, 12.0]
8880526&2&[9.5, 12.0]
8892124&2&[2.5, 9.9]
8935644&1&[3.8]
9029518&1&[5.1]
9146690&1&[2.7]
9412514&1&[1.1]
9418692&2&[3.2, 5.3]
9520019&1&[7.8]
9583493&2&[5.0, 3.0]
9591076&1&[11.9]
9641112&2&[11.3, 4.8]
9655233&1&[8.9]
9706078&1&[1.7]
9716645&1&[7.8]
9766237&1&[11.6]
9783606&3&[10.8, 4.0, 8.7]
9786953&1&[5.1]
9838078&2&[10.0, 10.6]
9897464&1&[11.0]
9934388&1&[3.0]
9944137&1&[5.7]
9946011&3&[8.6, 4.9, 10.6]
10011070&1&[5.2]
10220756&1&[12.0]
10321061&1&[8.3]
10346286&1&[9.7]
10422252&2&[6.0, 4.4]
10471412&2&[11.8, 3.5]
10488229&2&[6.3, 9.1]
10489814&1&[10.0]
10528093&1&[8.4]
10534155&2&[3.1, 8.2]
10646889&1&[3.6]
10687021&2&[7.5, 9.0]
10736615&1&[5.4]
10745663&2&[3.8, 4.0]
10809099&1&[9.3]
10861194&1&[7.7]
10919310&2&[2.7, 1.5]
10919564&2&[11.7, 7.1]
10921242&1&[3.7]
10992714&1&[3.0]
11017401&2&[11.1, 2.9]
11029626&2&[3.2, 4.7]
11091597&2&[11.6, 8.5]
11100630&1&[6.1]
11136848&1&[4.9]
11140181&1&[4.4]
11235995&1&[8.3]
11390058&1&[11.9]
11612371&1&[11.7]
11757490&1&[6.3]
11764567&1&[11.2]
11770267&2&[10.6, 8.6]
11818232&1&[5.1]
11818740&1&[11.7]
11961324&1&[10.7]
11967491&2&[5.5, 4.4]
11972298&5&[11.5, 8.0, 2.8, 9.9, 10.6]
12006586&2&[2.7, 11.3]
12109550&2&[4.1, 8.1]
12207117&1&[5.8]
12266582&4&[8.8, 6.1, 10.1, 8.6]
12307384&3&[4.1, 6.2, 5.1]
12315267&2&[4.4, 5.2]
